# freq amp phase
36861.3138686 1000008.35847 -115.456924485
36982.9683698 1000008.41375 -115.837975901
37104.622871 1000008.46922 -116.219027371
37226.2773723 1000008.52486 -116.600078895
37347.9318735 1000008.58069 -116.981130473
37469.5863747 1000008.63671 -117.362182107
37591.2408759 1000008.6929 -117.743233794
37712.8953771 1000008.74928 -118.124285537
37834.5498783 1000008.80584 -118.505337335
37956.2043796 1000008.86258 -118.886389187
38077.8588808 1000008.9195 -119.267441096
38199.513382 1000008.97661 -119.64849306
38321.1678832 1000009.0339 -120.029545079
38442.8223844 1000009.09137 -120.410597155
38564.4768856 1000009.14902 -120.791649286
38686.1313869 1000009.20685 -121.172701474
38807.7858881 1000009.26487 -121.553753719
38929.4403893 1000009.32307 -121.93480602
39051.0948905 1000009.38145 -122.315858378
39172.7493917 1000009.44001 -122.696910792
39294.4038929 1000009.49876 -123.077963264
39416.0583942 1000009.55768 -123.459015794
39537.7128954 1000009.61679 -123.840068381
39659.3673966 1000009.67608 -124.221121025
39781.0218978 1000009.73556 -124.602173728
39902.676399 1000009.79521 -124.983226488
40024.3309002 1000009.85505 -125.364279307
40145.9854015 1000009.91507 -125.745332184
40267.6399027 1000009.97527 -126.12638512
40389.2944039 1000010.03566 -126.507438115
40510.9489051 1000010.09622 -126.888491168
40632.6034063 1000010.15697 -127.269544281
40754.2579075 1000010.2179 -127.650597453
40875.9124088 1000010.27902 -128.031650685
40997.56691 1000010.34031 -128.412703976
41119.2214112 1000010.40179 -128.793757327
41240.8759124 1000010.46345 -129.174810738
41362.5304136 1000010.52529 -129.555864209
41484.1849148 1000010.58732 -129.93691774
41605.8394161 1000010.64952 -130.317971332
41727.4939173 1000010.71191 -130.699024985
41849.1484185 1000010.77448 -131.080078699
41970.8029197 1000010.83723 -131.461132474
42092.4574209 1000010.90017 -131.84218631
42214.1119221 1000010.96328 -132.223240207
42335.7664234 1000011.02658 -132.604294166
42457.4209246 1000011.09007 -132.985348187
42579.0754258 1000011.15373 -133.36640227
42700.729927 1000011.21757 -133.747456415
42822.3844282 1000011.2816 -134.128510622
42944.0389294 1000011.34581 -134.509564892
43065.6934307 1000011.4102 -134.890619225
43187.3479319 1000011.47478 -135.27167362
43309.0024331 1000011.53953 -135.652728078
43430.6569343 1000011.60447 -136.0337826
43552.3114355 1000011.66959 -136.414837185
43673.9659367 1000011.7349 -136.795891833
43795.620438 1000011.80038 -137.176946546
43917.2749392 1000011.86605 -137.558001322
44038.9294404 1000011.9319 -137.939056162
44160.5839416 1000011.99793 -138.320111067
44282.2384428 1000012.06414 -138.701166036
44403.892944 1000012.13054 -139.08222107
44525.5474453 1000012.19712 -139.463276168
44647.2019465 1000012.26388 -139.844331332
44768.8564477 1000012.33082 -140.22538656
44890.5109489 1000012.39794 -140.606441854
45012.1654501 1000012.46525 -140.987497214
45133.8199513 1000012.53274 -141.368552639
45255.4744526 1000012.60041 -141.74960813
45377.1289538 1000012.66826 -142.130663687
45498.783455 1000012.7363 -142.51171931
45620.4379562 1000012.80452 -142.892775
45742.0924574 1000012.87292 -143.273830757
45863.7469586 1000012.9415 -143.65488658
45985.4014599 1000013.01026 -144.03594247
46107.0559611 1000013.07921 -144.416998427
46228.7104623 1000013.14834 -144.798054451
46350.3649635 1000013.21765 -145.179110543
46472.0194647 1000013.28714 -145.560166703
46593.6739659 1000013.35682 -145.94122293
46715.3284672 1000013.42667 -146.322279226
46836.9829684 1000013.49671 -146.703335589
46958.6374696 1000013.56693 -147.084392021
47080.2919708 1000013.63734 -147.465448522
47201.946472 1000013.70792 -147.846505091
47323.6009732 1000013.77869 -148.227561729
47445.2554745 1000013.84964 -148.608618436
47566.9099757 1000013.92077 -148.989675213
47688.5644769 1000013.99209 -149.370732059
47810.2189781 1000014.06358 -149.751788974
47931.8734793 1000014.13526 -150.13284596
48053.5279805 1000014.20712 -150.513903015
48175.1824818 1000014.27916 -150.89496014
48296.836983 1000014.35139 -151.276017336
48418.4914842 1000014.4238 -151.657074602
48540.1459854 1000014.49639 -152.038131939
48661.8004866 1000014.56916 -152.419189346
48783.4549878 1000014.64211 -152.800246825
48905.1094891 1000014.71525 -153.181304375
49026.7639903 1000014.78857 -153.562361996
49148.4184915 1000014.86207 -153.943419689
49270.0729927 1000014.93575 -154.324477454
49391.7274939 1000015.00961 -154.70553529
49513.3819951 1000015.08366 -155.086593199
49635.0364964 1000015.15789 -155.46765118
49756.6909976 1000015.2323 -155.848709233
49878.3454988 1000015.30689 -156.229767359
50000 1000015.38167 -156.610825558
50121.6545012 1000015.45663 -156.991883829
50243.3090024 1000015.53177 -157.372942174
50364.9635036 1000015.60709 -157.754000592
50486.6180049 1000015.68259 -158.135059084
50608.2725061 1000015.75828 -158.516117649
50729.9270073 1000015.83415 -158.897176289
50851.5815085 1000015.9102 -159.278235002
50973.2360097 1000015.98643 -159.659293789
51094.8905109 1000016.06285 -160.040352651
51216.5450122 1000016.13944 -160.421411588
51338.1995134 1000016.21622 -160.802470599
51459.8540146 1000016.29318 -161.183529685
51581.5085158 1000016.37033 -161.564588846
51703.163017 1000016.44765 -161.945648083
51824.8175182 1000016.52516 -162.326707395
51946.4720195 1000016.60285 -162.707766783
52068.1265207 1000016.68072 -163.088826246
52189.7810219 1000016.75878 -163.469885786
52311.4355231 1000016.83702 -163.850945401
52433.0900243 1000016.91543 -164.232005093
52554.7445255 1000016.99404 -164.613064862
52676.3990268 1000017.07282 -164.994124707
52798.053528 1000017.15178 -165.375184629
52919.7080292 1000017.23093 -165.756244628
53041.3625304 1000017.31026 -166.137304705
53163.0170316 1000017.38977 -166.518364859
53284.6715328 1000017.46947 -166.89942509
53406.3260341 1000017.54934 -167.280485399
53527.9805353 1000017.6294 -167.661545787
53649.6350365 1000017.70964 -168.042606252
53771.2895377 1000017.79006 -168.423666796
53892.9440389 1000017.87067 -168.804727418
54014.5985401 1000017.95146 -169.185788118
54136.2530414 1000018.03243 -169.566848898
54257.9075426 1000018.11358 -169.947909757
54379.5620438 1000018.19491 -170.328970694
54501.216545 1000018.27643 -170.710031711
54622.8710462 1000018.35812 -171.091092808
54744.5255474 1000018.44 -171.472153985
54866.1800487 1000018.52207 -171.853215241
54987.8345499 1000018.60431 -172.234276577
55109.4890511 1000018.68674 -172.615337994
